path,filename,samplerate,channels,frames,duration_sec
data/raw/piano/fur_elise/Fur_elise_57.wav,Fur_elise_57.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_58.wav,Fur_elise_58.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_59.wav,Fur_elise_59.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_6.wav,Fur_elise_6.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_60.wav,Fur_elise_60.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_61.wav,Fur_elise_61.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_62.wav,Fur_elise_62.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_7.wav,Fur_elise_7.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_8.wav,Fur_elise_8.wav,44100,2,1124550,25.5
data/raw/piano/fur_elise/Fur_elise_9.wav,Fur_elise_9.wav,44100,2,1124550,25.5
